NAME,Population,Robbery,Burglary,Larceny theft,Motor vehicle theft
Alameda,1513586,235,622,1041,549
Butte,219968,24,564,721,11
Calaveras,45488,12,282,361,11
Contra Costa,1052887,119,1011,1729,14
El Dorado,181143,34,864,1114,12
Fresno,932696,116,1466,2230,746
Humboldt,135039,33,450,732,26
Imperial,174667,13,283,295,22
Kern,841687,463,3368,5152,1726
Kings,152301,12,243,306,45
Lake,64748,17,396,492,7
Los Angeles,9825761,1770,5046,8174,4090
Madera,151177,24,585,755,17
Marin,252971,28,239,573,1
Mendocino,87776,19,260,286,5
Merced,256877,49,778,1227,21
Monterey,416335,51,567,735,14
Napa,136824,2,157,219,3
Nevada,98787,4,250,324,4
Orange,3018181,32,255,910,110
Placer,350206,30,645,1275,30
Riverside,2202361,247,2892,5776,1642
Sacramento,1422316,1131,5038,9309,159
San Bernardino,2041626,145,1942,2574,1064
San Diego,3103933,278,1755,3106,1124
San Joaquin,687516,168,1656,2664,98
San Luis Obispo,269954,18,437,853,5
San Mateo,720105,53,229,1332,209
Santa Barbara,424403,27,564,912,5
Santa Clara,1786540,24,438,1113,211
Santa Cruz,263435,36,812,1419,1
Shasta,177324,23,568,466,24
Sonoma,484801,49,547,821,20
Stanislaus,515326,106,1320,1421,261
Sutter,94879,12,203,413,45
Tehama,63666,11,165,112,1
Tuolumne,55162,15,325,422,10
Ventura,825378,31,349,894,80
Yuba,72366,28,390,634,7
